filename,energy_value,energy_normalization
0.png,89.57059645,0.078710397
1.png,98.81361122,0.28933664
2.png,107.0371239,0.476730865
3.png,98.49792706,0.282142952
4.png,114.0459487,0.636445253
5.png,114.3263168,0.642834172
6.png,103.5971992,0.398343192
7.png,109.1424549,0.524706333
8.png,110.7772129,0.561958566
9.png,100.0634607,0.317817727
10.png,91.58186434,0.124542391
11.png,107.5135597,0.4875877
12.png,103.5729573,0.397790777
13.png,112.3130212,0.596955971
14.png,114.3056418,0.642363038
15.png,107.6658147,0.491057228
16.png,91.26573811,0.117338629
17.png,110.6437399,0.558917035
18.png,106.0728576,0.454757538
19.png,109.5232377,0.533383464
20.png,113.5877811,0.626004707
21.png,113.821829,0.6313381
22.png,98.42872208,0.280565936
23.png,110.3913825,0.553166412
24.png,110.8891499,0.564509343
25.png,110.7778337,0.561972713
26.png,107.7903172,0.493894343
27.png,115.2068159,0.662898645
28.png,111.0045207,0.567138368
29.png,109.7274496,0.538036966
30.png,105.5626135,0.443130293
31.png,102.1342083,0.365005122
32.png,108.7212623,0.515108359
33.png,104.3994548,0.416624682
34.png,96.62311917,0.239420555
35.png,112.4578282,0.600255777
36.png,100.6639772,0.331502064
37.png,106.0545774,0.454340976
38.png,109.3579996,0.529618083
39.png,109.9467722,0.543034805
40.png,101.4543372,0.349512482
41.png,107.0493304,0.477009022
42.png,106.7921318,0.47114808
43.png,95.25330077,0.208205664
44.png,112.3297855,0.59733799
45.png,105.0436181,0.431303626
46.png,130.8389872,1
47.png,113.3218392,0.619944526
48.png,112.5250778,0.601788235
49.png,111.0986358,0.569283027
50.png,112.753583,0.606995323
51.png,93.82594871,0.175679717
52.png,107.4350611,0.485798904
53.png,106.7611263,0.470441539
54.png,119.3908341,0.758242433
55.png,96.70493442,0.24128493
56.png,115.3565417,0.666310539
57.png,109.8431127,0.540672652
58.png,113.6790254,0.628083946
59.png,109.2090082,0.526222924
60.png,99.51401985,0.305297281
61.png,98.07056225,0.272404328
62.png,115.2609172,0.664131485
63.png,103.9321078,0.40597496
64.png,103.7792804,0.402492388
65.png,112.342861,0.597635949
66.png,107.0319916,0.476613912
67.png,107.0119904,0.476158133
68.png,105.1564362,0.433874482
69.png,109.8241962,0.54024159
70.png,115.71272,0.674426992
71.png,106.7898619,0.471096354
72.png,107.2757271,0.482168063
73.png,95.60803357,0.216289177
74.png,112.8290481,0.608714993
75.png,108.0431374,0.499655512
76.png,115.0327044,0.65893106
77.png,88.8643653,0.062617074
78.png,93.71084117,0.173056691
79.png,96.80210115,0.243499127
80.png,111.4708162,0.57776413
81.png,101.0054021,0.339282323
82.png,101.5363572,0.351381522
83.png,96.32305794,0.232582876
84.png,114.6322763,0.649806259
85.png,119.5974974,0.762951796
86.png,91.72729523,0.127856414
87.png,112.4446932,0.599956462
88.png,107.4345925,0.485788226
89.png,103.7336527,0.401452642
90.png,98.2585984,0.276689223
91.png,96.35528245,0.233317196
92.png,120.7537751,0.789300605
93.png,101.6508372,0.353990248
94.png,106.0524897,0.454293402
95.png,103.799729,0.402958363
96.png,104.8149859,0.426093644
97.png,100.3367163,0.32404457
98.png,106.2488467,0.458767909
99.png,97.79277715,0.266074269
100.png,117.8583653,0.723321127
101.png,100.9454934,0.337917147
102.png,98.88784292,0.291028204
103.png,118.7894442,0.744538192
104.png,97.50589767,0.25953697
105.png,110.1484573,0.547630727
106.png,107.4527051,0.486200969
107.png,101.0028326,0.33922377
108.png,108.9631175,0.520619662
109.png,118.8822738,0.746653558
110.png,102.5557704,0.374611516
111.png,116.2550711,0.686785879
112.png,108.6072183,0.512509569
113.png,114.3232117,0.642763415
114.png,115.705326,0.6742585
115.png,92.16466888,0.137823115
116.png,100.82406,0.335149969
117.png,117.8992232,0.724252181
118.png,110.0934692,0.546377679
119.png,118.6494934,0.741349048
120.png,101.8774881,0.359155081
121.png,116.7200583,0.697381827
122.png,103.5224219,0.396639196
123.png,118.4773422,0.737426133
124.png,101.0865236,0.341130888
125.png,95.62245404,0.216617786
126.png,106.8072515,0.471492622
127.png,99.95940983,0.315446656
128.png,99.11685666,0.29624688
129.png,95.32456389,0.20982958
130.png,136.5985465,1
131.png,112.2738837,0.596064121
132.png,99.50291097,0.305044136
133.png,96.35528245,0.233317196
134.png,122.9526328,0.839407323
135.png,99.26657051,0.299658501
136.png,112.8238836,0.608597306
137.png,112.7437539,0.606771341
138.png,123.4883934,0.851616029
139.png,126.5613385,0.921641112
140.png,100.9924904,0.338988096
141.png,115.440543,0.668224728
142.png,111.5386243,0.579309314
143.png,115.1678759,0.662011295
144.png,130.2209995,1
145.png,96.03178479,0.225945456
146.png,113.3062625,0.61958957
147.png,104.3453689,0.415392194
148.png,115.9297031,0.679371519
149.png,104.4340995,0.417414152
150.png,107.8952921,0.49628647
151.png,119.9393495,0.77074179
152.png,106.9506826,0.474761074
153.png,119.8259629,0.76815798
154.png,116.0272585,0.681594574
155.png,103.8126299,0.403252344
156.png,105.1241786,0.433139408
157.png,92.9966916,0.156782927
158.png,118.9681702,0.748610931
159.png,108.7645177,0.516094047
160.png,108.981726,0.521043705
161.png,106.2933548,0.459782143
162.png,97.27015319,0.254164916
163.png,111.3423952,0.574837722
164.png,104.2102503,0.412313164
165.png,95.16274556,0.206142127
166.png,103.4976707,0.396075175
167.png,110.6698663,0.559512393
168.png,115.6517943,0.673038641
169.png,110.3282217,0.551727128
170.png,111.9768216,0.589294785
171.png,99.17347895,0.297537167
172.png,108.1328831,0.501700602
173.png,111.9365074,0.588376121
174.png,111.3458157,0.574915667
175.png,113.803371,0.630917486
176.png,110.2361016,0.549627931
177.png,108.2188665,0.503659958
178.png,109.3823237,0.530172371
179.png,127.2821608,0.938066932
180.png,104.1495836,0.410930714
181.png,104.341943,0.415314126
182.png,96.93284287,0.246478419
183.png,103.0204712,0.385200938
184.png,109.8957368,0.54187183
185.png,94.7167844,0.195979736
186.png,96.67105057,0.240512797
187.png,94.73519103,0.196399179
188.png,99.64343266,0.30824629
189.png,109.003581,0.521541729
190.png,106.5289585,0.465150989
191.png,110.6128527,0.558213189
192.png,107.37423,0.484412709
193.png,114.4110321,0.644764632
194.png,119.5502836,0.761875906
195.png,114.4945747,0.646668368
196.png,116.2415856,0.686478577
197.png,103.5455336,0.397165857
198.png,102.2278697,0.367139442
199.png,119.3828582,0.758060681
200.png,122.1919317,0.822072761
201.png,100.9765873,0.338625702
202.png,96.73642756,0.242002583
203.png,111.7135326,0.583295057
204.png,106.3924117,0.462039413
205.png,98.15648118,0.274362215
206.png,101.9364895,0.360499582
207.png,116.1675583,0.684791671
208.png,93.02771851,0.157489956
209.png,120.5906211,0.785582715
210.png,106.9202251,0.474067021
211.png,97.54840665,0.260505648
212.png,119.7768761,0.767039409
213.png,115.3606056,0.666403145
214.png,92.37457398,0.142606352
